date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:50	10315/10315	---M--	200	added ('OK')	image/png	etag:%225bf6b6d3-344b%22	https://colorlib.com/polygon/concept/assets/images/slack.png	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/slack.png	(from https://colorlib.com/polygon/concept/index.html)
15:00:50	21953/21953	---M--	200	added ('OK')	image/jpeg	etag:%225bf6b6c5-5c0a%22	https://colorlib.com/polygon/concept/assets/images/avatar-1.jpg	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/assets/images/avatar-1.jpg	(from https://colorlib.com/polygon/concept/index.html)
15:00:52	31704/31704	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:19%20GMT	https://colorlib.com/polygon/concept/ecommerce-product.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/ecommerce-product.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:52	28850/28850	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:17%20GMT	https://colorlib.com/polygon/concept/ecommerce-product-single.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/ecommerce-product-single.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:52	24056/24056	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:18%20GMT	https://colorlib.com/polygon/concept/ecommerce-product-checkout.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/ecommerce-product-checkout.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:52	27278/27278	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:18%20GMT	https://colorlib.com/polygon/concept/dashboard-finance.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/dashboard-finance.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:53	30799/30799	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:17%20GMT	https://colorlib.com/polygon/concept/dashboard-sales.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/dashboard-sales.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:53	33640/33640	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:18%20GMT	https://colorlib.com/polygon/concept/dashboard-influencer.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/dashboard-influencer.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:54	35087/35087	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:17%20GMT	https://colorlib.com/polygon/concept/influencer-finder.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/influencer-finder.html	(from https://colorlib.com/polygon/concept/index.html)
15:00:54	33730/33730	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Nov%202018%2014:01:19%20GMT	https://colorlib.com/polygon/concept/influencer-profile.html	C:/My%20Web%20Sites/Admin/colorlib.com/polygon/concept/influencer-profile.html	(from https://colorlib.com/polygon/concept/index.html)
